"Dist Code","Year","State Code","State Name","Dist Name","DISTRICT MALE FIELD LABOUR (Rs per Day)"
"40","2020","6","Madhya Pradesh","Betul","600.0"
"41","2020","6","Madhya Pradesh","Rajgarh","341.67"
"42","2020","6","Madhya Pradesh","Shajapur","504.55"
"43","2020","6","Madhya Pradesh","Hoshangabad","287.5"
"44","2020","1","Andhra Pradesh","Srikakulam","514.0"
"45","2020","1","Andhra Pradesh","Visakhapatnam","366.25"
"46","2020","1","Andhra Pradesh","East Godavari","594.42"
"47","2020","1","Andhra Pradesh","West Godavari","466.67"
"48","2020","1","Andhra Pradesh","Krishna","586.55"
"49","2020","1","Andhra Pradesh","Guntur","447.22"
"50","2020","1","Andhra Pradesh","S.P.S.Nellore","444.67"
"51","2020","1","Andhra Pradesh","Kurnool","284.0"
"52","2020","1","Andhra Pradesh","Anantapur","319.58"
"53","2020","1","Andhra Pradesh","Kadapa YSR","396.67"
"54","2020","1","Andhra Pradesh","Chittoor","416.42"
"55","2020","20","Telangana","Hyderabad","-1.0"
"56","2020","20","Telangana","Nizamabad","450.0"
"57","2020","20","Telangana","Medak","424.83"
"58","2020","20","Telangana","Mahabubnagar","488.89"
"59","2020","20","Telangana","Nalgonda","406.92"
"60","2020","20","Telangana","Warangal","500.0"
"61","2020","20","Telangana","Khammam","358.08"
"62","2020","20","Telangana","Karimnagar","480.0"
"63","2020","20","Telangana","Adilabad","283.55"
"65","2020","5","Karnataka","Kolar","429.73"
"66","2020","5","Karnataka","Tumkur","350.0"
"67","2020","5","Karnataka","Mysore","487.5"
"68","2020","5","Karnataka","Mandya","394.33"
"69","2020","5","Karnataka","Hassan","436.83"
"70","2020","5","Karnataka","Shimoge","382.17"
"71","2020","5","Karnataka","Chickmagalur","390.8"
"72","2020","5","Karnataka","Chitradurga","350.33"
"73","2020","5","Karnataka","Bellary","356.17"
"74","2020","5","Karnataka","Dharwad","324.2"
"75","2020","5","Karnataka","Belgaum","301.14"
"76","2020","5","Karnataka","Bijapur","329.5"
"77","2020","5","Karnataka","Bidar","460.31"
"78","2020","5","Karnataka","Raichur","334.0"
"79","2020","5","Karnataka","Gulbarga","323.5"
"80","2020","5","Karnataka","Dakshina Kannada","577.0"
"81","2020","5","Karnataka","Uttara Kannada","473.64"
"82","2020","5","Karnataka","Kodagu","500.0"
"83","2020","11","Tamil Nadu","Kancheepuram","440.0"
"84","2020","11","Tamil Nadu","South Arcot Cuddalore","-1.0"
"85","2020","11","Tamil Nadu","North Arcot Vellore","590.08"
"86","2020","11","Tamil Nadu","Salem","400.0"
"87","2020","11","Tamil Nadu","Coimbatore","-1.0"
"88","2020","11","Tamil Nadu","Tiruchirapalli Trichy","-1.0"
"89","2020","11","Tamil Nadu","Thanjavur","700.0"
"90","2020","11","Tamil Nadu","Madurai","588.25"
"91","2020","11","Tamil Nadu","Ramananthapuram","-1.0"
"92","2020","11","Tamil Nadu","Thirunelveli","-1.0"
"93","2020","11","Tamil Nadu","The Nilgiris","424.0"
"94","2020","11","Tamil Nadu","Kanyakumari","-1.0"
"96","2020","7","Maharashtra","Thane","-1.0"
"97","2020","7","Maharashtra","Raigarh","300.0"
"98","2020","7","Maharashtra","Ratnagiri","-1.0"
"99","2020","7","Maharashtra","Nasik","325.0"
"100","2020","7","Maharashtra","Dhule","300.0"
"101","2020","7","Maharashtra","Jalgaon","300.0"
"102","2020","7","Maharashtra","Ahmednagar","383.33"
"103","2020","7","Maharashtra","Pune","-1.0"
"104","2020","7","Maharashtra","Satara","400.0"
"105","2020","7","Maharashtra","Sangli","300.0"
"106","2020","7","Maharashtra","Solapur","-1.0"
"107","2020","7","Maharashtra","Kolhapur","-1.0"
"108","2020","7","Maharashtra","Aurangabad","-1.0"
"109","2020","7","Maharashtra","Parbhani","-1.0"
"110","2020","7","Maharashtra","Bid","-1.0"
"111","2020","7","Maharashtra","Nanded","300.0"
"112","2020","7","Maharashtra","Osmanabad","-1.0"
"113","2020","7","Maharashtra","Buldhana","250.0"
"114","2020","7","Maharashtra","Akola","300.0"
"115","2020","7","Maharashtra","Amarawati","-1.0"
"116","2020","7","Maharashtra","Yeotmal","300.0"
"117","2020","7","Maharashtra","Wardha","-1.0"
"118","2020","7","Maharashtra","Nagpur","400.0"
"119","2020","7","Maharashtra","Bhandara","266.67"
"120","2020","7","Maharashtra","Chandrapur","300.0"
"121","2020","3","Gujarat","Ahmedabad","291.0"
"122","2020","3","Gujarat","Amreli","266.92"
"123","2020","3","Gujarat","Banaskantha","411.67"
"124","2020","3","Gujarat","Bharuch","265.0"
"125","2020","3","Gujarat","Vadodara","250.0"
"126","2020","3","Gujarat","Bhavnagar","341.42"
"127","2020","3","Gujarat","Valsad","249.67"
"128","2020","3","Gujarat","Dangs","265.0"
"129","2020","3","Gujarat","Jamnagar","267.0"
"130","2020","3","Gujarat","Junagadh","298.33"
"131","2020","3","Gujarat","Kheda","255.25"
"132","2020","3","Gujarat","Kutch","387.5"
"133","2020","3","Gujarat","Mehsana","255.75"
"134","2020","3","Gujarat","Panchmahal","189.58"
"135","2020","3","Gujarat","Rajkot","301.92"
"136","2020","3","Gujarat","Sabarkantha","243.25"
"137","2020","3","Gujarat","Surat","252.33"
"138","2020","3","Gujarat","Surendranagar","330.33"
"139","2020","10","Rajasthan","Ajmer","214.17"
"140","2020","10","Rajasthan","Alwar","400.0"
"141","2020","10","Rajasthan","Banswara","300.0"
"142","2020","10","Rajasthan","Barmer","500.0"
"143","2020","10","Rajasthan","Bharatpur","450.0"
"144","2020","10","Rajasthan","Bhilwara","293.33"
"145","2020","10","Rajasthan","Bikaner","672.73"
"146","2020","10","Rajasthan","Bundi","300.0"
"147","2020","10","Rajasthan","Chittorgarh","472.73"
"148","2020","10","Rajasthan","Churu","600.0"
"149","2020","10","Rajasthan","Dungarpur","645.45"
"150","2020","10","Rajasthan","Ganganagar","500.0"
"151","2020","10","Rajasthan","Jaipur","425.0"
"152","2020","10","Rajasthan","Jaisalmer","420.83"
"153","2020","10","Rajasthan","Jalore","387.5"
"154","2020","10","Rajasthan","Jhalawar","300.0"
"155","2020","10","Rajasthan","Jhunjhunu","783.33"
"156","2020","10","Rajasthan","Jodhpur","420.0"
"157","2020","10","Rajasthan","Kota","300.0"
"158","2020","10","Rajasthan","Nagaur","-1.0"
"159","2020","10","Rajasthan","Pali","-1.0"
"160","2020","10","Rajasthan","Swami Madhopur","510.0"
"161","2020","10","Rajasthan","Sikar","500.0"
"162","2020","10","Rajasthan","Sirohi","343.33"
"163","2020","10","Rajasthan","Tonk","550.0"
"164","2020","10","Rajasthan","Udaipur","352.5"
"165","2020","9","Punjab","Gurdaspur","452.5"
"166","2020","9","Punjab","Amritsar","500.0"
"167","2020","9","Punjab","Kapurthala","390.91"
"168","2020","9","Punjab","Jalandhar","600.0"
"169","2020","9","Punjab","Hoshiarpur","460.0"
"170","2020","9","Punjab","Roopnagar","570.0"
"171","2020","9","Punjab","Ludhiana","545.0"
"172","2020","9","Punjab","Ferozpur","437.5"
"173","2020","9","Punjab","Faridkot","415.83"
"174","2020","9","Punjab","Bhatinda","400.0"
"175","2020","9","Punjab","Sangrur","416.25"
"176","2020","9","Punjab","Patiala","410.0"
"177","2020","4","Haryana","Hissar","466.67"
"178","2020","4","Haryana","Sirsa","525.0"
"179","2020","4","Haryana","Bhiwani","491.67"
"180","2020","4","Haryana","Gurgaon","700.0"
"181","2020","4","Haryana","Jind","504.17"
"182","2020","4","Haryana","Mahendragarh","650.0"
"183","2020","4","Haryana","Ambala","400.0"
"184","2020","4","Haryana","Karnal","-1.0"
"185","2020","4","Haryana","Kurukshetra","350.0"
"186","2020","4","Haryana","Rohtak","600.0"
"187","2020","4","Haryana","Sonepat","616.67"
"188","2020","4","Haryana","Faridabad","591.67"
"189","2020","12","Uttar Pradesh","Saharanpur","250.0"
"190","2020","12","Uttar Pradesh","Muzaffarnagar","-1.0"
"191","2020","12","Uttar Pradesh","Meerut","300.0"
"192","2020","12","Uttar Pradesh","Buland Shahar","338.0"
"193","2020","12","Uttar Pradesh","Ghaziabad","362.5"
"194","2020","12","Uttar Pradesh","Aligarh","-1.0"
"195","2020","12","Uttar Pradesh","Mathura","-1.0"
"196","2020","12","Uttar Pradesh","Agra","-1.0"
"197","2020","12","Uttar Pradesh","Mainpuri","250.0"
"198","2020","12","Uttar Pradesh","Etah","300.0"
"199","2020","12","Uttar Pradesh","Bareilly","325.0"
"200","2020","12","Uttar Pradesh","Budaun","300.0"
"201","2020","12","Uttar Pradesh","Moradabad","299.27"
"202","2020","12","Uttar Pradesh","Shahjahanpur","-1.0"
"203","2020","12","Uttar Pradesh","Pilibhit","256.25"
"204","2020","12","Uttar Pradesh","Rampur","-1.0"
"205","2020","12","Uttar Pradesh","Bijnor","353.0"
"206","2020","12","Uttar Pradesh","Farrukhabad","273.75"
"207","2020","12","Uttar Pradesh","Etawah","-1.0"
"209","2020","12","Uttar Pradesh","Fatehpur","311.11"
"210","2020","12","Uttar Pradesh","Allahabad","314.67"
"211","2020","12","Uttar Pradesh","Jhansi","262.5"
"212","2020","12","Uttar Pradesh","Lalitpur","366.67"
"213","2020","12","Uttar Pradesh","Jalaun","-1.0"
"214","2020","12","Uttar Pradesh","Hamirpur","300.0"
"215","2020","12","Uttar Pradesh","Banda","233.33"
"216","2020","12","Uttar Pradesh","Varanasi","-1.0"
"217","2020","12","Uttar Pradesh","Mirzpur","-1.0"
"218","2020","12","Uttar Pradesh","Jaunpur","-1.0"
"219","2020","12","Uttar Pradesh","Ghazipur","343.75"
"220","2020","12","Uttar Pradesh","Ballia","220.83"
"221","2020","12","Uttar Pradesh","Gorakhpur","300.0"
"222","2020","12","Uttar Pradesh","Deoria","-1.0"
"223","2020","12","Uttar Pradesh","Basti","250.0"
"224","2020","12","Uttar Pradesh","Azamgarh","358.0"
"225","2020","12","Uttar Pradesh","Lucknow","-1.0"
"226","2020","12","Uttar Pradesh","Unnao","300.0"
"227","2020","12","Uttar Pradesh","Rae - Bareily","-1.0"
"228","2020","12","Uttar Pradesh","Sitapur","300.0"
"229","2020","12","Uttar Pradesh","Hardoi","250.0"
"230","2020","12","Uttar Pradesh","Kheri","262.5"
"231","2020","12","Uttar Pradesh","Faizabad","300.0"
"232","2020","12","Uttar Pradesh","Gonda","-1.0"
"233","2020","12","Uttar Pradesh","Bahraich","250.0"
"234","2020","12","Uttar Pradesh","Sultanpur","212.5"
"235","2020","12","Uttar Pradesh","Pratapgarh","285.0"
"236","2020","12","Uttar Pradesh","Barabanki","-1.0"
"237","2020","16","Uttarakhand","Nainital","-1.0"
"238","2020","16","Uttarakhand","Almorah","375.0"
"239","2020","16","Uttarakhand","Pithorgarh","558.33"
"240","2020","16","Uttarakhand","Chamoli","475.0"
"241","2020","16","Uttarakhand","Uttar Kashi","500.0"
"242","2020","16","Uttarakhand","Tehri Garhwal","850.0"
"243","2020","16","Uttarakhand","Garhwal","500.0"
"244","2020","16","Uttarakhand","Dehradun","241.5"
"501","2020","14","Chhattisgarh","Rajnandgaon","486.36"
"502","2020","6","Madhya Pradesh","Bhopal","302.5"
"503","2020","1","Andhra Pradesh","Vizianagaram","395.83"
"504","2020","1","Andhra Pradesh","Prakasam","523.17"
"506","2020","11","Tamil Nadu","Dharmapuri","318.33"
"507","2020","11","Tamil Nadu","Periyar(Erode)","700.0"
"508","2020","11","Tamil Nadu","Pudukkottai","600.0"
"509","2020","11","Tamil Nadu","Dindigul Anna","650.0"
"510","2020","11","Tamil Nadu","Virudhunagar Kamarajar","-1.0"
"512","2020","11","Tamil Nadu","Sivagangai Pasumpon","700.0"
"513","2020","11","Tamil Nadu","Chidambanar Toothukudi","-1.0"
"514","2020","7","Maharashtra","Jalna","-1.0"
"515","2020","7","Maharashtra","Latur","-1.0"
"516","2020","7","Maharashtra","Gadchiroli","300.0"
"517","2020","7","Maharashtra","Sindhudurg","-1.0"
"518","2020","3","Gujarat","Gandhinagar","276.92"
"519","2020","10","Rajasthan","Dholpur","-1.0"
"520","2020","20","Telangana","Rangareddy","449.45"
"521","2020","11","Tamil Nadu","Thiruvannamalai","405.33"
"523","2020","4","Haryana","Yamunanagar","400.0"
"524","2020","4","Haryana","Kaithal","-1.0"
"525","2020","4","Haryana","Panipat","437.5"
"526","2020","4","Haryana","Rewari","500.0"
"527","2020","16","Uttarakhand","Haridwar","400.0"
"528","2020","12","Uttar Pradesh","Firozabad","300.0"
"529","2020","12","Uttar Pradesh","Sonbhadra","200.0"
"530","2020","12","Uttar Pradesh","Mau","-1.0"
"531","2020","12","Uttar Pradesh","Mahrajgani","300.0"
"532","2020","12","Uttar Pradesh","Sidharthnagar","-1.0"
"533","2020","12","Uttar Pradesh","Mahoba","250.0"
"536","2020","10","Rajasthan","Baran","300.0"
"537","2020","10","Rajasthan","Dausa","350.0"
"538","2020","10","Rajasthan","Rajsamand","375.0"
"539","2020","10","Rajasthan","Hanumangarh","500.0"
"542","2020","11","Tamil Nadu","Nagapattinam","1215.0"
"543","2020","11","Tamil Nadu","Villupuram","651.42"
"545","2020","9","Punjab","Mansa","350.0"
"546","2020","9","Punjab","Fatehgarh Sahib","408.33"
"547","2020","12","Uttar Pradesh","Kanpur Nagar","300.0"
"548","2020","12","Uttar Pradesh","Kanpur Dehat","300.0"
"549","2020","5","Karnataka","Bangalore(Rural)","448.7"
"550","2020","5","Karnataka","Bangalore(Urban)","500.0"
"601","2020","17","Assam","Cachar","312.5"
"602","2020","17","Assam","Darrang","325.0"
"603","2020","17","Assam","Dibrugarh","250.0"
"604","2020","17","Assam","Goalpara","300.0"
"605","2020","17","Assam","Kamrup","300.0"
"606","2020","17","Assam","Karbi Anglong","-1.0"
"607","2020","17","Assam","Lakhimpur","266.67"
"608","2020","17","Assam","North Cachar Hil","-1.0"
"609","2020","17","Assam","Nagaon","400.0"
"610","2020","17","Assam","Sibsagar","-1.0"
"615","2020","17","Assam","Barpeta","312.5"
"616","2020","17","Assam","Dhubri","-1.0"
"617","2020","17","Assam","Golaghat","510.0"
"618","2020","17","Assam","Jorhat","-1.0"
"619","2020","17","Assam","Karimganj","350.0"
"620","2020","17","Assam","Kokrajhar","335.0"
"621","2020","17","Assam","Nalbari","-1.0"
"622","2020","17","Assam","Sonitpur","-1.0"
"626","2020","18","Himachal Pradesh","Bilashpur","560.0"
"627","2020","18","Himachal Pradesh","Chamba","450.0"
"628","2020","18","Himachal Pradesh","Hamirpur","450.0"
"629","2020","18","Himachal Pradesh","Kangra","416.67"
"630","2020","18","Himachal Pradesh","Kinnaur","650.0"
"631","2020","18","Himachal Pradesh","Kullu","460.0"
"632","2020","18","Himachal Pradesh","Lahul & Spiti","366.67"
"633","2020","18","Himachal Pradesh","Solan","373.33"
"634","2020","18","Himachal Pradesh","Mandi","466.67"
"635","2020","18","Himachal Pradesh","Shimla","383.33"
"636","2020","18","Himachal Pradesh","Sirmaur","390.83"
"637","2020","18","Himachal Pradesh","Una","406.67"
"651","2020","19","Kerala","Alappuzha","-1.0"
"652","2020","19","Kerala","Kannur","858.25"
"653","2020","19","Kerala","Eranakulam","1000.0"
"654","2020","19","Kerala","Idukki","850.0"
"655","2020","19","Kerala","Kottayam","-1.0"
"656","2020","19","Kerala","Kozhikode","1350.0"
"657","2020","19","Kerala","Malappuram","1100.0"
"658","2020","19","Kerala","Palakkad","-1.0"
"659","2020","19","Kerala","Kollam","743.75"
"660","2020","19","Kerala","Thrissur","-1.0"
"661","2020","19","Kerala","Thiruvananthapuram","700.0"
"662","2020","19","Kerala","Kasaragod","-1.0"
"663","2020","19","Kerala","Pathanamthitta","-1.0"
"664","2020","19","Kerala","Wayanad","859.09"
"701","2020","8","Orissa","Balasore","366.67"
"702","2020","8","Orissa","Bolangir","400.0"
"703","2020","8","Orissa","Cuttack","350.0"
"704","2020","8","Orissa","Dhenkanal","300.0"
"705","2020","8","Orissa","Ganjam","300.0"
"706","2020","8","Orissa","Kalahandi","400.0"
"707","2020","8","Orissa","Keonjhar","400.0"
"708","2020","8","Orissa","Koraput","250.0"
"709","2020","8","Orissa","Mayurbhanja","308.33"
"710","2020","8","Orissa","Phulbani(Kandhamal)","400.0"
"711","2020","8","Orissa","Puri","600.0"
"712","2020","8","Orissa","Sambalpur","375.0"
"713","2020","8","Orissa","Sundargarh","330.0"
"714","2020","8","Orissa","Bhadrak","550.0"
"716","2020","8","Orissa","Jagatsinghapur","350.0"
"717","2020","8","Orissa","Jajapur","300.0"
"718","2020","8","Orissa","Kendrapara","358.33"
"719","2020","8","Orissa","Angul","250.0"
"720","2020","8","Orissa","Gajapati","429.17"
"721","2020","8","Orissa","Nuapada","258.33"
"722","2020","8","Orissa","Malkangiri","250.0"
"723","2020","8","Orissa","Nawarangpur","301.67"
"724","2020","8","Orissa","Rayagada","300.0"
"725","2020","8","Orissa","Khurda","512.5"
"726","2020","8","Orissa","Nayagarh","400.0"
"728","2020","8","Orissa","Boudh","400.0"
"729","2020","8","Orissa","Bargarh","250.0"
"730","2020","8","Orissa","Deogarh","450.0"
"731","2020","8","Orissa","Jharsuguda","300.0"
"732","2020","8","Orissa","Sonepur","350.0"
"801","2020","13","West Bengal","24 - Paraganas South","466.25"
"802","2020","13","West Bengal","24 - Paraganas North","365.0"
"803","2020","13","West Bengal","Nadia","320.45"
"804","2020","13","West Bengal","Murshidabad","400.3"
"805","2020","13","West Bengal","Burdwan","295.14"
"806","2020","13","West Bengal","Birbhum","279.17"
"807","2020","13","West Bengal","Bankura","365.0"
"810","2020","13","West Bengal","Hooghly","363.67"
"811","2020","13","West Bengal","Howrah","372.88"
"812","2020","13","West Bengal","Jalpaiguri","382.5"
"813","2020","13","West Bengal","Darjeeling","358.8"
"814","2020","13","West Bengal","Malda","319.38"
"815","2020","13","West Bengal","Kalimpong","618.75"
"816","2020","13","West Bengal","Cooch Behar","378.13"
"817","2020","13","West Bengal","Purulia","263.73"
"819","2020","13","West Bengal","Uttar Dinajpur","439.58"
"820","2020","13","West Bengal","Dakshin Dinajpur","350.0"
"821","2020","13","West Bengal","Kolkata","-1.0"
"823","2020","13","West Bengal","East Midnapore Purba Midnapore","415.18"
"824","2020","13","West Bengal","West Midnapore","375.08"
"902","2020","2","Bihar","Muzaffarpur","358.33"
"903","2020","2","Bihar","Darbhanga","-1.0"
"904","2020","2","Bihar","Saharsa","300.0"
"905","2020","2","Bihar","Purnea","400.0"
"906","2020","2","Bihar","Saran","357.14"
"907","2020","2","Bihar","Patna","391.67"
"908","2020","2","Bihar","Mungair","300.0"
"909","2020","2","Bihar","Bhagalpur","308.33"
"910","2020","15","Jharkhand","Santhal Paragana Dumka","229.0"
"912","2020","2","Bihar","Gaya","272.5"
"913","2020","15","Jharkhand","Hazaribagh","300.0"
"914","2020","15","Jharkhand","Dhanbad","275.0"
"915","2020","15","Jharkhand","Palamau","300.0"
"916","2020","15","Jharkhand","Ranchi","239.0"
"918","2020","2","Bihar","Nalanda","360.0"
"919","2020","2","Bihar","Nawada","300.0"
"920","2020","2","Bihar","Aurangabad","320.83"
"921","2020","2","Bihar","Bhojpur","400.0"
"922","2020","2","Bihar","Rohtas","304.17"
"923","2020","2","Bihar","Siwan","359.09"
"924","2020","2","Bihar","Gopalganj","308.33"
"925","2020","2","Bihar","Champaran(East)","350.0"
"926","2020","2","Bihar","Champaran(West)","309.09"
"927","2020","2","Bihar","Vaishali","300.0"
"928","2020","2","Bihar","Sitamarhi","350.0"
"929","2020","2","Bihar","Madhubani","300.0"
"930","2020","2","Bihar","Samastipur","300.0"
"931","2020","2","Bihar","Begusarai","358.33"
"932","2020","2","Bihar","Katihar","300.0"
"933","2020","15","Jharkhand","Giridih","254.17"
"934","2020","2","Bihar","Jehanabad","-1.0"
"935","2020","2","Bihar","Madhepura","300.0"
"936","2020","2","Bihar","Khagaria","300.0"
"937","2020","15","Jharkhand","Godda","-1.0"
"938","2020","15","Jharkhand","Sahebganj","300.0"
"940","2020","15","Jharkhand","Devghar Deogarh","-1.0"
"941","2020","15","Jharkhand","Lohardagga","250.0"
"942","2020","15","Jharkhand","Gumla","220.0"
"943","2020","15","Jharkhand","Singhbhum East","250.0"
"944","2020","15","Jharkhand","Singhbhum West","116.67"
"945","2020","2","Bihar","Araria","375.0"
"946","2020","2","Bihar","Kishanganj","347.92"
"947","2020","2","Bihar","Buxar","400.0"
"948","2020","2","Bihar","Bhabhua Kaimur","300.0"
"949","2020","2","Bihar","Banka","418.18"
"950","2020","2","Bihar","Jamui","300.0"
"951","2020","2","Bihar","Supaul","316.67"
"952","2020","15","Jharkhand","Chatra","250.0"
"953","2020","15","Jharkhand","Bokaro","246.58"
"954","2020","15","Jharkhand","Gadva Garhwa","252.5"
"955","2020","15","Jharkhand","Khodrama Koderma","-1.0"
"956","2020","2","Bihar","Lakhisarai","300.0"
"957","2020","15","Jharkhand","Pakund Pakur","-1.0"
"958","2020","2","Bihar","Sheikapura","340.0"
"960","2020","2","Bihar","Sheohar","350.0"
"961","2020","2","Bihar","Arwal","-1.0"
"962","2020","15","Jharkhand","Jamtara","240.0"
"963","2020","15","Jharkhand","Latehar","277.5"
"964","2020","15","Jharkhand","Sariakela Kharsawan","197.08"
"965","2020","15","Jharkhand","Simdega","250.0"
"999","2020","11","Tamil Nadu","Chennai","-1.0"
"1001","2020","3","Gujarat","Anand","257.08"
"1002","2020","3","Gujarat","Dahod","300.0"
"1003","2020","3","Gujarat","Narmada","369.17"
"1004","2020","3","Gujarat","Navsari","265.0"
"1005","2020","3","Gujarat","Patan","254.42"
"1006","2020","3","Gujarat","Porbandar","391.67"
"1007","2020","4","Haryana","Fatehabad","400.0"
"1008","2020","4","Haryana","Jhajjar","525.0"
"1009","2020","4","Haryana","Panchkula","600.0"
"1010","2020","5","Karnataka","Bagalkote","309.5"
"1011","2020","5","Karnataka","Chamaraja Nagar","496.0"
"1012","2020","5","Karnataka","Davanagere","436.46"
"1013","2020","5","Karnataka","Gadag","280.82"
"1014","2020","5","Karnataka","Haveri","344.9"
"1015","2020","5","Karnataka","Koppal","431.25"
"1016","2020","5","Karnataka","Udupi","495.33"
"1017","2020","9","Punjab","S.B.S Nagar","360.0"
"1018","2020","9","Punjab","Shri Mukatsar Sahib","465.56"
"1019","2020","9","Punjab","Moga","500.0"
"1020","2020","10","Rajasthan","Karoli","300.0"
"1022","2020","11","Tamil Nadu","Karur","-1.0"
"1023","2020","11","Tamil Nadu","Namakkal","-1.0"
"1024","2020","11","Tamil Nadu","Perambular","-1.0"
"1025","2020","11","Tamil Nadu","Theni","700.0"
"1026","2020","11","Tamil Nadu","Tiruvarur","-1.0"
"1027","2020","11","Tamil Nadu","Thiruvallur","700.0"
"1028","2020","12","Uttar Pradesh","Ambedkar Nagar","-1.0"
"1029","2020","12","Uttar Pradesh","Kushi Nagar Padrauna","350.0"
"1030","2020","16","Uttarakhand","Udham Singh Nagar","300.0"
"1031","2020","12","Uttar Pradesh","Auraiya","350.0"
"1032","2020","16","Uttarakhand","Bageshwar","650.0"
"1033","2020","12","Uttar Pradesh","Bagpat","391.67"
"1034","2020","12","Uttar Pradesh","Balrampur","300.0"
"1035","2020","16","Uttarakhand","Champavat","675.42"
"1036","2020","12","Uttar Pradesh","Chandauli","-1.0"
"1037","2020","12","Uttar Pradesh","Chitrakoot","250.0"
"1038","2020","12","Uttar Pradesh","G.B.Nagar","351.08"
"1039","2020","12","Uttar Pradesh","Hathras","300.0"
"1040","2020","12","Uttar Pradesh","Amroha J.B.Fulenagar","300.0"
"1041","2020","12","Uttar Pradesh","Kannauj","-1.0"
"1042","2020","12","Uttar Pradesh","Kushambi","300.0"
"1043","2020","16","Uttarakhand","Rudraprayag","925.0"
"1044","2020","12","Uttar Pradesh","Santh Ravi Das Nagar Bhadoi","-1.0"
"1045","2020","12","Uttar Pradesh","Santh Kabir Nagar","-1.0"
"1046","2020","12","Uttar Pradesh","Shravasti","266.67"
"1047","2020","17","Assam","Bongaigaon","-1.0"
"1048","2020","17","Assam","Dhemaji","250.0"
"1049","2020","17","Assam","Hailakandi","450.0"
"1050","2020","17","Assam","Marigaon","312.5"
"1051","2020","17","Assam","Tinsukia","220.0"
"1055","2020","14","Chhattisgarh","Dantewara","200.0"
"1056","2020","14","Chhattisgarh","Dhamtari","363.33"
"1057","2020","6","Madhya Pradesh","Dindori","250.0"
"1058","2020","6","Madhya Pradesh","Harda","-1.0"
"1059","2020","14","Chhattisgarh","Janjgir","-1.0"
"1060","2020","6","Madhya Pradesh","Barwani","275.0"
"1061","2020","6","Madhya Pradesh","Katni","400.0"
"1062","2020","6","Madhya Pradesh","Neemuch","510.0"
"1063","2020","6","Madhya Pradesh","Sheopur Kalan","-1.0"
"1064","2020","6","Madhya Pradesh","Umaria","262.5"
"1065","2020","14","Chhattisgarh","Koriya","300.0"
"1066","2020","14","Chhattisgarh","Jashpur","200.0"
"1067","2020","14","Chhattisgarh","Korba","500.0"
"1068","2020","14","Chhattisgarh","Kawardha","283.33"
"1069","2020","14","Chhattisgarh","Mahasmund","494.44"
"1070","2020","14","Chhattisgarh","Kanker","350.0"
"1071","2020","6","Madhya Pradesh","Anuppur","375.0"
"1072","2020","7","Maharashtra","Gondia","-1.0"
"1073","2020","7","Maharashtra","Hingoli","-1.0"
"1074","2020","7","Maharashtra","Nandurbar","-1.0"
"1075","2020","7","Maharashtra","Washim","-1.0"
"1076","2020","7","Maharashtra","Mumbai sub","-1.0"
"1077","2020","11","Tamil Nadu","Ariyalur","-1.0"
